player,team,market,line,p_model,p_book,edge,fair,p25,p75,game,verdict,abs_edge
Alec Pierce,IND,receptions,2.5,0.38207407407407407,0.5805485134823691,-0.19847443940829507,2.0,1.1,3.1,Bal@Ind,BET UNDER,0.19847443940829507
Tre Tucker,LV,receiving_yards,45.5,0.30162962962962964,0.5,-0.19837037037037036,29.2,12.5,51.0,Mia@Las,BET UNDER,0.19837037037037036
Darren Waller,CAR,receiving_yards,16.5,0.6965925925925925,0.4989820846905538,0.19761050790203877,30.3,13.0,53.0,Chi@Car,BET OVER,0.19761050790203877
Keenan Allen,IND,receiving_yards,27.5,0.692247454972592,0.4979934719747246,0.1942539829978674,42.4,23.1,65.5,Bal@Ind,BET OVER,0.1942539829978674
Mike Gesicki,CIN,receptions,2.5,0.22239115411195576,0.4165029469548134,-0.19411179284285762,1.4,0.7,2.4,Tam@Cin,BET UNDER,0.19411179284285762
D'Andre Swift,CHI,rushing_yards,63.5,0.30974477958236657,0.5030135004821601,-0.19326872089979352,45.4,26.7,69.0,Chi@Car,BET UNDER,0.19326872089979352
Tee Higgins,CIN,receptions,4.5,0.37196554424432265,0.5651093439363817,-0.19314379969205903,3.8,2.4,5.4,Tam@Cin,BET UNDER,0.19314379969205903
Michael Pittman,PIT,receiving_yards,37.5,0.30814814814814817,0.5010179153094463,-0.1928697671612981,24.4,10.5,42.7,Atl@Pit,BET UNDER,0.1928697671612981
Zay Flowers,BAL,receptions,5.5,0.232,0.4248366013071895,-0.19283660130718946,3.4,1.9,5.3,Bal@Ind,BET UNDER,0.19283660130718946
Chig Okonkwo,WAS,receiving_yards,24.5,0.7002740798747064,0.5079872204472844,0.19228685942742196,38.9,21.2,60.1,Was@Phi,BET OVER,0.19228685942742196
Terry McLaurin,WAS,receiving_yards,49.5,0.30725925925925923,0.4989820846905538,-0.19172282543129454,32.2,13.8,56.2,Was@Phi,BET UNDER,0.19172282543129454
Quentin Johnston,LAC,receiving_yards,43.5,0.3082962962962963,0.5,-0.1917037037037037,28.3,12.2,49.5,Ari@Los,BET UNDER,0.1917037037037037
Mike Gesicki,CIN,receiving_yards,21.5,0.30919143054595716,0.5,-0.19080856945404284,12.2,3.8,25.8,Tam@Cin,BET UNDER,0.19080856945404284
Kyle Monangai,CHI,receptions,0.5,0.8360746371803732,0.6456256921373201,0.1904489450430531,1.5,0.8,2.5,Chi@Car,BET OVER,0.1904489450430531
DJ Moore,BUF,receiving_yards,46.5,0.31422222222222224,0.5040451438048622,-0.18982292158263997,30.6,13.1,53.5,Buf@Hou,BET UNDER,0.18982292158263997
Justin Jefferson,MIN,receptions,6.5,0.23766640563821456,0.4269598743395687,-0.18929346870135416,4.5,2.9,6.4,Gre@Min,BET UNDER,0.18929346870135416
Kenny Gainwell,TB,receptions,2.5,0.7826938136256852,0.5940959409594095,0.1885978726662757,4.4,2.8,6.2,Tam@Cin,BET OVER,0.1885978726662757
Chig Okonkwo,WAS,receiving_yards,25.5,0.6900939702427564,0.5015460431890295,0.18854792705372692,38.9,21.2,60.1,Was@Phi,BET OVER,0.18854792705372692
Kyle Monangai,CHI,receiving_yards,5.5,0.7007601935038009,0.5123152709359606,0.1884449225678403,12.4,3.8,26.1,Chi@Car,BET OVER,0.1884449225678403
Tetairoa McMillan,CAR,receiving_yards,57.5,0.3082962962962963,0.4949766918501849,-0.1866803955538886,37.4,16.0,65.4,Chi@Car,BET UNDER,0.1866803955538886
Kenneth Walker III,KC,rushing_yards,62.5,0.3111368909512761,0.4974859611392735,-0.1863490701879974,45.0,26.4,68.3,Den@Kan,BET UNDER,0.1863490701879974
Xavier Legette,CAR,receptions,2.5,0.22239115411195576,0.40691187849777755,-0.1845207243858218,1.4,0.7,2.4,Chi@Car,BET UNDER,0.1845207243858218
Quentin Johnston,LAC,receiving_yards,42.5,0.3202962962962963,0.5041554124246831,-0.1838591161283868,28.3,12.2,49.5,Ari@Los,BET UNDER,0.1838591161283868
Aaron Jones,MIN,receptions,2.5,0.32301313061506565,0.505732779890279,-0.18271964927521334,1.8,0.9,3.0,Gre@Min,BET UNDER,0.18271964927521334
Jaylen Waddle,DEN,receiving_yards,56.5,0.30933333333333335,0.4917678906606377,-0.18243455732730435,36.9,15.8,64.4,Den@Kan,BET UNDER,0.18243455732730435
Chig Okonkwo,WAS,receptions,2.5,0.7523492560689116,0.5702144200640168,0.18213483600489477,3.9,2.5,5.6,Was@Phi,BET OVER,0.18213483600489477
D'Andre Swift,CHI,rushing_yards,62.5,0.3169373549883991,0.4979069722162731,-0.18096961722787402,45.4,26.7,69.0,Chi@Car,BET UNDER,0.18096961722787402
Jaylen Waddle,DEN,receiving_yards,55.5,0.31985185185185183,0.5,-0.18014814814814817,36.9,15.8,64.4,Den@Kan,BET UNDER,0.18014814814814817
Kyle Monangai,CHI,receiving_yards,6.5,0.6696613683483068,0.48967053309476455,0.17999083525354226,12.4,3.8,26.1,Chi@Car,BET OVER,0.17999083525354226
Kenneth Walker III,KC,rushing_yards,61.5,0.3185614849187935,0.4979069722162731,-0.17934548729747962,45.0,26.4,68.3,Den@Kan,BET UNDER,0.17934548729747962
DJ Moore,BUF,receiving_yards,45.5,0.32222222222222224,0.5,-0.17777777777777776,30.6,13.1,53.5,Buf@Hou,BET UNDER,0.17777777777777776
Chig Okonkwo,WAS,receiving_yards,26.5,0.677760375880971,0.5,0.17776037588097104,38.9,21.2,60.1,Was@Phi,BET OVER,0.17776037588097104
Kenneth Walker III,KC,rushing_yards,60.5,0.32807424593967516,0.5051597457277305,-0.17708549978805532,45.0,26.4,68.3,Den@Kan,BET UNDER,0.17708549978805532
Quinshon Judkins,CLE,rushing_yards,58.5,0.3234338747099768,0.5,-0.1765661252900232,43.1,25.3,65.5,Cle@Jac,BET UNDER,0.1765661252900232
Omarion Hampton,LAC,rushing_yards,70.5,0.32389791183294664,0.5,-0.17610208816705336,52.0,30.5,79.0,Ari@Los,BET UNDER,0.17610208816705336
D'Andre Swift,CHI,rushing_yards,61.5,0.3252900232018561,0.5,-0.17470997679814387,45.4,26.7,69.0,Chi@Car,BET UNDER,0.17470997679814387
Mike Gesicki,CIN,receiving_yards,20.5,0.3272978576364893,0.5010464130421027,-0.17374855540561346,12.2,3.8,25.8,Tam@Cin,BET UNDER,0.17374855540561346
Jayden Reed,GB,receiving_yards,44.5,0.336,0.5082034454470877,-0.1722034454470877,30.8,13.2,53.9,Gre@Min,BET UNDER,0.1722034454470877
Josh Downs,IND,receiving_yards,47.5,0.32785185185185184,0.5,-0.17214814814814816,32.3,13.9,56.5,Bal@Ind,BET UNDER,0.17214814814814816
Jayden Reed,GB,receiving_yards,45.5,0.32592592592592595,0.4979069722162731,-0.17198104629034716,30.8,13.2,53.9,Gre@Min,BET UNDER,0.17198104629034716
Adam Trautman,DEN,receiving_yards,7.5,0.6711817553559087,0.5,0.17118175535590874,14.3,4.5,30.2,Den@Kan,BET OVER,0.17118175535590874
Kenny Gainwell,TB,receiving_yards,21.5,0.6711041503523885,0.5,0.17110415035238846,30.9,16.8,47.8,Tam@Cin,BET OVER,0.17110415035238846
